line,departure_name,departure_time,arrival_time,arrival_name,distance,driving_time,pause,rotation_id,vehicle_type,vehicle_id
7015,Artrium, 2022-07-05 07:42:00 , 2022-07-05 07:45:00 ,Marktplatz,0.37, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Marktplatz, 2022-07-05 07:46:00 , 2022-07-05 07:49:00 ,Artrium,0.37, 00:03:00, 00:01:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 07:49:00 , 2022-07-05 07:52:00 ,Therme,0.32, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Therme, 2022-07-05 07:52:00 , 2022-07-05 07:57:00 ,Gries,0.85, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Gries, 2022-07-05 07:57:00 , 2022-07-05 08:00:00 ,Bahnhof,0.53, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Bahnhof, 2022-07-05 08:01:00 , 2022-07-05 08:04:00 ,Gries,0.53, 00:03:00, 00:01:00,,SH_oppb-0,0
7015,Gries, 2022-07-05 08:04:00 , 2022-07-05 08:09:00 ,Therme,0.85, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Therme, 2022-07-05 08:09:00 , 2022-07-05 08:12:00 ,Artrium,0.32, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 08:19:00 , 2022-07-05 08:22:00 ,Marktplatz,0.37, 00:03:00, 00:07:00,,SH_oppb-0,0
7015,Marktplatz, 2022-07-05 08:22:00 , 2022-07-05 08:27:00 ,Artrium,0.37, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 08:27:00 , 2022-07-05 08:30:00 ,Therme,0.32, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Therme, 2022-07-05 08:31:00 , 2022-07-05 08:34:00 ,Gries,0.85, 00:03:00, 00:01:00,,SH_oppb-0,0
7015,Gries, 2022-07-05 08:34:00 , 2022-07-05 08:39:00 ,Bahnhof,0.53, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Bahnhof, 2022-07-05 08:39:00 , 2022-07-05 08:42:00 ,Gries,0.53, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 08:42:00 , 2022-07-05 08:45:00 ,Therme,0.37, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Marktplatz, 2022-07-05 08:46:00 , 2022-07-05 08:49:00 ,Artrium,0.37, 00:03:00, 00:01:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 08:49:00 , 2022-07-05 08:52:00 ,Marktplatz,0.32, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Therme, 2022-07-05 08:52:00 , 2022-07-05 08:57:00 ,Artrium,0.85, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Gries, 2022-07-05 08:57:00 , 2022-07-05 09:00:00 ,Therme,0.53, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Bahnhof, 2022-07-05 09:01:00 , 2022-07-05 09:04:00 ,Gries,0.53, 00:03:00, 00:01:00,,SH_oppb-0,0
7015,Gries, 2022-07-05 09:04:00 , 2022-07-05 09:09:00 ,Bahnhof,0.85, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Therme, 2022-07-05 09:09:00 , 2022-07-05 09:12:00 ,Gries,0.32, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 09:19:00 , 2022-07-05 09:22:00 ,Therme,0.37, 00:03:00, 00:07:00,,SH_oppb-0,0
7015,Marktplatz, 2022-07-05 09:22:00 , 2022-07-05 09:27:00 ,Artrium,0.37, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 09:27:00 , 2022-07-05 09:30:00 ,Marktplatz,0.32, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Therme, 2022-07-05 09:31:00 , 2022-07-05 09:34:00 ,Marktplatz,0.85, 00:03:00, 00:01:00,,SH_oppb-0,0
7015,Gries, 2022-07-05 09:34:00 , 2022-07-05 09:39:00 ,Artrium,0.53, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Bahnhof, 2022-07-05 09:39:00 , 2022-07-05 09:42:00 ,Therme,0.53, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 09:42:00 , 2022-07-05 09:45:00 ,Gries,0.37, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Marktplatz, 2022-07-05 09:46:00 , 2022-07-05 09:49:00 ,Bahnhof,0.37, 00:03:00, 00:01:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 09:49:00 , 2022-07-05 09:52:00 ,Gries,0.32, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Therme, 2022-07-05 09:52:00 , 2022-07-05 09:57:00 ,Therme,0.37, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Gries, 2022-07-05 09:57:00 , 2022-07-05 10:00:00 ,Artrium,0.37, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Bahnhof, 2022-07-05 10:01:00 , 2022-07-05 10:04:00 ,Marktplatz,0.32, 00:03:00, 00:01:00,,SH_oppb-0,0
7015,Gries, 2022-07-05 10:04:00 , 2022-07-05 10:09:00 ,Artrium,0.85, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Therme, 2022-07-05 10:09:00 , 2022-07-05 10:12:00 ,Therme,0.53, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 10:19:00 , 2022-07-05 10:22:00 ,Gries,0.53, 00:03:00, 00:07:00,,SH_oppb-0,0
7015,Marktplatz, 2022-07-05 10:22:00 , 2022-07-05 10:27:00 ,Bahnhof,0.85, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 10:27:00 , 2022-07-05 10:30:00 ,Gries,0.32, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Therme, 2022-07-05 10:31:00 , 2022-07-05 10:34:00 ,Therme,0.37, 00:03:00, 00:01:00,,SH_oppb-0,0
7015,Gries, 2022-07-05 10:34:00 , 2022-07-05 10:39:00 ,Artrium,0.37, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Bahnhof, 2022-07-05 10:39:00 , 2022-07-05 10:42:00 ,Marktplatz,0.32, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 10:42:00 , 2022-07-05 10:45:00 ,Artrium,0.85, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Marktplatz, 2022-07-05 10:46:00 , 2022-07-05 10:49:00 ,Therme,0.53, 00:03:00, 00:01:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 10:49:00 , 2022-07-05 10:52:00 ,Gries,0.53, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Therme, 2022-07-05 10:52:00 , 2022-07-05 10:57:00 ,Bahnhof,0.37, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Gries, 2022-07-05 10:57:00 , 2022-07-05 11:00:00 ,Gries,0.37, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Bahnhof, 2022-07-05 11:01:00 , 2022-07-05 11:04:00 ,Therme,0.32, 00:03:00, 00:01:00,,SH_oppb-0,0
7015,Gries, 2022-07-05 11:04:00 , 2022-07-05 11:09:00 ,Artrium,0.85, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Therme, 2022-07-05 11:09:00 , 2022-07-05 11:12:00 ,Marktplatz,0.53, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 11:19:00 , 2022-07-05 11:22:00 ,Marktplatz,0.53, 00:03:00, 00:07:00,,SH_oppb-0,0
7015,Marktplatz, 2022-07-05 11:22:00 , 2022-07-05 11:27:00 ,Artrium,0.85, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 11:27:00 , 2022-07-05 11:30:00 ,Therme,0.32, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Therme, 2022-07-05 11:31:00 , 2022-07-05 11:34:00 ,Gries,0.37, 00:03:00, 00:01:00,,SH_oppb-0,0
7015,Gries, 2022-07-05 11:34:00 , 2022-07-05 11:39:00 ,Bahnhof,0.37, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Bahnhof, 2022-07-05 11:39:00 , 2022-07-05 11:42:00 ,Gries,0.32, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 11:42:00 , 2022-07-05 11:45:00 ,Therme,0.85, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Marktplatz, 2022-07-05 11:46:00 , 2022-07-05 11:49:00 ,Artrium,0.53, 00:03:00, 00:01:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 11:49:00 , 2022-07-05 11:52:00 ,Marktplatz,0.53, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Therme, 2022-07-05 11:52:00 , 2022-07-05 11:57:00 ,Artrium,0.37, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Gries, 2022-07-05 11:57:00 , 2022-07-05 12:00:00 ,Therme,0.37, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Bahnhof, 2022-07-05 12:01:00 , 2022-07-05 12:04:00 ,Gries,0.32, 00:03:00, 00:01:00,,SH_oppb-0,0
7015,Gries, 2022-07-05 12:04:00 , 2022-07-05 12:09:00 ,Bahnhof,0.37, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Therme, 2022-07-05 12:09:00 , 2022-07-05 12:12:00 ,Gries,0.37, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 12:19:00 , 2022-07-05 12:22:00 ,Therme,0.32, 00:03:00, 00:07:00,,SH_oppb-0,0
7015,Marktplatz, 2022-07-05 12:22:00 , 2022-07-05 12:27:00 ,Artrium,0.85, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 12:27:00 , 2022-07-05 12:30:00 ,Marktplatz,0.53, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Therme, 2022-07-05 12:31:00 , 2022-07-05 12:34:00 ,Artrium,0.53, 00:03:00, 00:01:00,,SH_oppb-0,0
7015,Gries, 2022-07-05 12:34:00 , 2022-07-05 12:39:00 ,Therme,0.85, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Bahnhof, 2022-07-05 12:39:00 , 2022-07-05 12:42:00 ,Gries,0.32, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 12:42:00 , 2022-07-05 12:45:00 ,Bahnhof,0.37, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Marktplatz, 2022-07-05 12:46:00 , 2022-07-05 12:49:00 ,Gries,0.37, 00:03:00, 00:01:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 12:49:00 , 2022-07-05 12:52:00 ,Therme,0.32, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Therme, 2022-07-05 12:52:00 , 2022-07-05 12:57:00 ,Artrium,0.85, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Gries, 2022-07-05 12:57:00 , 2022-07-05 13:00:00 ,Marktplatz,0.53, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Bahnhof, 2022-07-05 13:01:00 , 2022-07-05 13:04:00 ,Marktplatz,0.53, 00:03:00, 00:01:00,,SH_oppb-0,0
7015,Gries, 2022-07-05 13:04:00 , 2022-07-05 13:09:00 ,Artrium,0.37, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Therme, 2022-07-05 13:09:00 , 2022-07-05 13:12:00 ,Therme,0.37, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 13:19:00 , 2022-07-05 13:22:00 ,Gries,0.32, 00:03:00, 00:07:00,,SH_oppb-0,0
7015,Marktplatz, 2022-07-05 13:22:00 , 2022-07-05 13:27:00 ,Bahnhof,0.85, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 13:27:00 , 2022-07-05 13:30:00 ,Gries,0.53, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Therme, 2022-07-05 13:31:00 , 2022-07-05 13:34:00 ,Therme,0.53, 00:03:00, 00:01:00,,SH_oppb-0,0
7015,Gries, 2022-07-05 13:34:00 , 2022-07-05 13:39:00 ,Artrium,0.85, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Bahnhof, 2022-07-05 13:39:00 , 2022-07-05 13:42:00 ,Marktplatz,0.32, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 13:42:00 , 2022-07-05 13:45:00 ,Artrium,0.37, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Marktplatz, 2022-07-05 13:46:00 , 2022-07-05 13:49:00 ,Therme,0.37, 00:03:00, 00:01:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 13:49:00 , 2022-07-05 13:52:00 ,Gries,0.32, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Therme, 2022-07-05 13:52:00 , 2022-07-05 13:57:00 ,Bahnhof,0.85, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Gries, 2022-07-05 13:57:00 , 2022-07-05 14:00:00 ,Gries,0.53, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Bahnhof, 2022-07-05 14:01:00 , 2022-07-05 14:04:00 ,Therme,0.53, 00:03:00, 00:01:00,,SH_oppb-0,0
7015,Gries, 2022-07-05 14:04:00 , 2022-07-05 14:09:00 ,Artrium,0.37, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Therme, 2022-07-05 14:09:00 , 2022-07-05 14:12:00 ,Marktplatz,0.37, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 14:19:00 , 2022-07-05 14:22:00 ,Artrium,0.32, 00:03:00, 00:07:00,,SH_oppb-0,0
7015,Marktplatz, 2022-07-05 14:22:00 , 2022-07-05 14:27:00 ,Therme,0.37, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 14:27:00 , 2022-07-05 14:30:00 ,Gries,0.37, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Therme, 2022-07-05 14:31:00 , 2022-07-05 14:34:00 ,Bahnhof,0.32, 00:03:00, 00:01:00,,SH_oppb-0,0
7015,Gries, 2022-07-05 14:34:00 , 2022-07-05 14:39:00 ,Gries,0.85, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Bahnhof, 2022-07-05 14:39:00 , 2022-07-05 14:42:00 ,Therme,0.53, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 14:42:00 , 2022-07-05 14:45:00 ,Artrium,0.53, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Marktplatz, 2022-07-05 14:46:00 , 2022-07-05 14:49:00 ,Marktplatz,0.85, 00:03:00, 00:01:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 14:49:00 , 2022-07-05 14:52:00 ,Marktplatz,0.32, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Therme, 2022-07-05 14:52:00 , 2022-07-05 14:57:00 ,Artrium,0.37, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Gries, 2022-07-05 14:57:00 , 2022-07-05 15:00:00 ,Therme,0.37, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Bahnhof, 2022-07-05 15:01:00 , 2022-07-05 15:04:00 ,Gries,0.32, 00:03:00, 00:01:00,,SH_oppb-0,0
7015,Gries, 2022-07-05 15:04:00 , 2022-07-05 15:09:00 ,Bahnhof,0.85, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Therme, 2022-07-05 15:09:00 , 2022-07-05 15:12:00 ,Gries,0.53, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 15:19:00 , 2022-07-05 15:22:00 ,Therme,0.53, 00:03:00, 00:07:00,,SH_oppb-0,0
7015,Marktplatz, 2022-07-05 15:22:00 , 2022-07-05 15:27:00 ,Artrium,0.37, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 15:27:00 , 2022-07-05 15:30:00 ,Marktplatz,0.37, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Therme, 2022-07-05 15:31:00 , 2022-07-05 15:34:00 ,Artrium,0.32, 00:03:00, 00:01:00,,SH_oppb-0,0
7015,Gries, 2022-07-05 15:34:00 , 2022-07-05 15:39:00 ,Therme,0.85, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Bahnhof, 2022-07-05 15:39:00 , 2022-07-05 15:42:00 ,Gries,0.53, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 15:42:00 , 2022-07-05 15:45:00 ,Bahnhof,0.53, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Marktplatz, 2022-07-05 15:46:00 , 2022-07-05 15:49:00 ,Gries,0.85, 00:03:00, 00:01:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 15:49:00 , 2022-07-05 15:52:00 ,Therme,0.32, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Therme, 2022-07-05 15:52:00 , 2022-07-05 15:57:00 ,Artrium,0.37, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Gries, 2022-07-05 15:57:00 , 2022-07-05 16:00:00 ,Marktplatz,0.37, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Bahnhof, 2022-07-05 16:01:00 , 2022-07-05 16:04:00 ,Artrium,0.32, 00:03:00, 00:01:00,,SH_oppb-0,0
7015,Gries, 2022-07-05 16:04:00 , 2022-07-05 16:09:00 ,Therme,0.85, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Therme, 2022-07-05 16:09:00 , 2022-07-05 16:12:00 ,Gries,0.53, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 16:19:00 , 2022-07-05 16:22:00 ,Bahnhof,0.53, 00:03:00, 00:07:00,,SH_oppb-0,0
7015,Marktplatz, 2022-07-05 16:22:00 , 2022-07-05 16:27:00 ,Gries,0.37, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 16:27:00 , 2022-07-05 16:30:00 ,Therme,0.37, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Therme, 2022-07-05 16:31:00 , 2022-07-05 16:34:00 ,Artrium,0.32, 00:03:00, 00:01:00,,SH_oppb-0,0
7015,Gries, 2022-07-05 16:34:00 , 2022-07-05 16:39:00 ,Marktplatz,0.37, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Bahnhof, 2022-07-05 16:39:00 , 2022-07-05 16:42:00 ,Marktplatz,0.37, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 16:42:00 , 2022-07-05 16:45:00 ,Artrium,0.32, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Marktplatz, 2022-07-05 16:46:00 , 2022-07-05 16:49:00 ,Therme,0.85, 00:03:00, 00:01:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 16:49:00 , 2022-07-05 16:52:00 ,Gries,0.53, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Therme, 2022-07-05 16:52:00 , 2022-07-05 16:57:00 ,Bahnhof,0.53, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Gries, 2022-07-05 16:57:00 , 2022-07-05 17:00:00 ,Gries,0.85, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Bahnhof, 2022-07-05 17:01:00 , 2022-07-05 17:04:00 ,Therme,0.32, 00:03:00, 00:01:00,,SH_oppb-0,0
7015,Gries, 2022-07-05 17:04:00 , 2022-07-05 17:09:00 ,Artrium,0.37, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Therme, 2022-07-05 17:09:00 , 2022-07-05 17:12:00 ,Marktplatz,0.37, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 17:19:00 , 2022-07-05 17:22:00 ,Artrium,0.32, 00:03:00, 00:07:00,,SH_oppb-0,0
7015,Marktplatz, 2022-07-05 17:22:00 , 2022-07-05 17:27:00 ,Therme,0.85, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 17:27:00 , 2022-07-05 17:30:00 ,Gries,0.53, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Therme, 2022-07-05 17:31:00 , 2022-07-05 17:34:00 ,Bahnhof,0.53, 00:03:00, 00:01:00,,SH_oppb-0,0
7015,Gries, 2022-07-05 17:34:00 , 2022-07-05 17:39:00 ,Gries,0.37, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Bahnhof, 2022-07-05 17:39:00 , 2022-07-05 17:42:00 ,Therme,0.37, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 17:42:00 , 2022-07-05 17:45:00 ,Artrium,0.32, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Marktplatz, 2022-07-05 17:46:00 , 2022-07-05 17:49:00 ,Marktplatz,0.85, 00:03:00, 00:01:00,,SH_oppb-0,0
7015,Artrium, 2022-07-05 17:49:00 , 2022-07-05 17:52:00 ,Artrium,0.53, 00:03:00, 00:00:00,,SH_oppb-0,0
7015,Therme, 2022-07-05 17:52:00 , 2022-07-05 17:57:00 ,Therme,0.53, 00:05:00, 00:00:00,,SH_oppb-0,0
7015,Gries, 2022-07-05 17:57:00 , 2022-07-05 18:00:00 ,Gries,0.85, 00:03:00, 00:00:00,,SH_oppb-0,0
